Source,Target,Weight
2 Chainz,Jason Derulo,1
Flo Rida,Kesha,1
Nate Ruess,P!nk,1
Eminem,Rihanna,2
Kesha,Pitbull,1
Bebe Rexha,Florida Georgia Line,1
Camila Cabello,Shawn Mendes,1
Akon,Eminem,1
Post Malone,Ty Dolla $ign,1
B.o.B,Hayley Williams,1
Lil Jon & The East Side Boyz,Ying Yang Twins,1
Maroon 5,Wiz Khalifa,1
Justin Timberlake,Timbaland,1
Macklemore,Macklemore & Ryan Lewis,1
Macklemore & Ryan Lewis,Ryan Lewis,1
Macklemore & Ryan Lewis,Ray Dalton,1
Macklemore,Ryan Lewis,1
Macklemore,Ray Dalton,1
Ray Dalton,Ryan Lewis,1
JAY-Z,Rihanna,1
50 Cent,Olivia,1
Charli xcx,Iggy Azalea,1
Fat Joe,Terror Squad,1
Remy Ma,Terror Squad,1
Fat Joe,Remy Ma,2
Camila Cabello,Young Thug,1
Daya,The Chainsmokers,1
Alicia Keys,JAY-Z,1
Bad Bunny,Cardi B,1
Cardi B,J Balvin,1
Bad Bunny,J Balvin,1
Nelly Furtado,Timbaland,1
Drake,Rihanna,1
Colby O'Donis,Lady Gaga,2
Beyonce,JAY-Z,1
Katy Perry,Snoop Dogg,1
AFROJACK,Pitbull,1
Ne-Yo,Pitbull,1
Nayer,Pitbull,1
AFROJACK,Ne-Yo,1
AFROJACK,Nayer,1
Nayer,Ne-Yo,1
Rihanna,T.I.,1
Flo Rida,Taio Cruz,1
Drake,Wizkid,1
Drake,Kyla,1
Kyla,Wizkid,1
Bastille,Marshmello,1
Jay Sean,Lil Wayne,1
Santana,The Product G&B,1
Janelle Monae,fun.,1
Macklemore & Ryan Lewis,Wanz,1
Juicy J,Katy Perry,1
Charlie Puth,Wiz Khalifa,1
21 Savage,Post Malone,1
Kelly Rowland,Nelly,1
Christina Aguilera,Maroon 5,1
OneRepublic,Timbaland,1
Robin Thicke,T.I.,1
Pharrell Williams,Robin Thicke,1
Pharrell Williams,T.I.,1
Gotye,Kimbra,1
Flo Rida,T-Pain,1
Calvin Harris,Rihanna,2
Lil Jon,USHER,1
Ludacris,USHER,1
Lil Jon,Ludacris,1
Cardi B,Maroon 5,1
Halsey,The Chainsmokers,1
LMFAO,Lauren Bennett,1
GoonRock,LMFAO,1
GoonRock,Lauren Bennett,1
Bruno Mars,Mark Ronson,1
Freshlyground,Shakira,1
Justin Bieber,Ludacris,1
Sirah,Skrillex,1
Clean Bandit,Sean Paul,1
Anne-Marie,Clean Bandit,1
Anne-Marie,Sean Paul,1
Charlie Puth,Selena Gomez,1
J Balvin,Willy William,1
DJ Snake,Selena Gomez,1
DJ Snake,Ozuna,1
Cardi B,DJ Snake,1
Ozuna,Selena Gomez,1
Cardi B,Selena Gomez,1
Cardi B,Ozuna,1
Ed Sheeran,Khalid,1
Dan + Shay,Justin Bieber,1
Black Eyed Peas,J Balvin,1
Becky Hill,MEDUZA,1
Goodboys,MEDUZA,1
Becky Hill,Goodboys,1
Ed Sheeran,Justin Bieber,1
Bradley Cooper,Lady Gaga,1
Foushee,Sleepy Hallow,1
RAYE,Regard,1
Eminem,Juice WRLD,1
Billie Eilish,Khalid,1
JP Saxe,Julia Michaels,1
Jason Derulo,Jawsh 685,1
David Guetta,Kid Cudi,1
Jack Harlow,Tory Lanez,1
DaBaby,Jack Harlow,1
Jack Harlow,Lil Wayne,1
DaBaby,Tory Lanez,1
Lil Wayne,Tory Lanez,1
DaBaby,Lil Wayne,1
Justin Bieber,Quavo,2
A7S,Topic,2
Ariana Grande,Justin Bieber,1
BENEE,Gus Dapperton,1
Emilee,Surf Mesa,1
Powfu,beabadoobee,1
Imanbek,SAINt JHN,1
DaBaby,Roddy Ricch,1
Lil Wayne,Wiz Khalifa,1
Imagine Dragons,Lil Wayne,1
Lil Wayne,X Ambassadors,1
Lil Wayne,Logic,1
Lil Wayne,Ty Dolla $ign,1
Imagine Dragons,Wiz Khalifa,1
Wiz Khalifa,X Ambassadors,1
Logic,Wiz Khalifa,1
Ty Dolla $ign,Wiz Khalifa,1
Imagine Dragons,X Ambassadors,1
Imagine Dragons,Logic,1
Imagine Dragons,Ty Dolla $ign,1
Logic,X Ambassadors,1
Ty Dolla $ign,X Ambassadors,1
