ID,Followers,Popularity,genre
Maan,2433876,61,pop
Amy Macdonald,492731,61,pop
2 Chainz,8018271,74,hip hop
Colbie Caillat,2496356,65,pop
Kelvin Jones,54808,52,pop
Black M,340143,50,metal
Emilee,99611,58,pop
InfaRed,1484,49,hip hop
Berre,4621,42,pop
SEUNGRI,445617,52,pop
Daan,39851,34,latin
Sirah,19203,53,electronic
FAST BOY,35007,68,pop
Outkast,2673967,74,hip hop
Creedence Clearwater Revival,6645053,80,rock
Nate Dogg,1692476,76,funk
Christina Aguilera,8288233,76,pop
Twenty One Pilots,24281740,83,rock
Nyla,35,55,electronic
Nightwish,2173277,64,metal
Lil Jon,1581482,72,hip hop
Alok,11310159,79,electronic
benny blanco,1162155,70,pop
Kaleen,15232,49,pop
Charly Black,341532,59,dance
PSY,1589366,61,rap
Julia Michaels,5048363,71,pop
Foo Fighters,11771199,77,metal
Post Malone,44275627,90,rap
Nico & Vinz,523846,61,hip hop
KIDDO,26765,60,pop
Angele,7339399,77,latin
Hybrid Minds,168213,58,electronic
XXXTENTACION,45226684,86,rap
Joel Corry,420937,71,pop
A Great Big World,571164,58,pop
Tom Odell,3852035,75,pop
Mufasa,16641,60,pop
Camila Cabello,33279350,79,pop
U2,12213348,76,rock
Alex Germys,2013,24,pop
Sigrid,700476,57,pop
Swedish House Mafia,3763860,75,electronic
Jason Derulo,12056739,77,pop
Sub Urban,1690268,64,pop
Little Mix,11927485,72,pop
K'NAAN,27,11,reggae
Iggy Azalea,6543537,66,hip hop
Riton,137778,66,electronic
Donnie,601576,46,r&b
Majestic,74663,65,dance
Justin Wellington,48412,52,pop
Celeste,495264,59,soul
Lasgo,127617,53,dance
blackbear,4951937,72,pop
DNCE,4531711,66,pop
Wanz,5286,64,funk
MEAU,159982,55,pop
Charli xcx,3313387,83,pop
KALUSH,998498,52,hip hop
Julie Bergan,160887,55,pop
Halsey,21551808,79,pop
Chance the Rapper,5987039,72,rap
Laura Tesoro,62123,42,pop
Leona Lewis,3552086,63,soul
Niall Horan,9887353,74,pop
Jawsh 685,124786,58,pop
Billie Eilish,95496420,94,pop
Boney M.,2005121,69,pop
Trevor Daniel,826458,62,rap
Petit Biscuit,950757,60,pop
Chawki,25519,54,pop
Cardi B,24036683,79,pop
TOTO,2940318,74,rock
NF,9924598,77,hip hop
Nathan Dawe,122866,64,pop
One Direction,35306866,83,pop
Wizkid,5500783,76,hip hop
X Ambassadors,3002904,70,rock
Jason Mraz,7175471,70,pop
John Legend,6808134,73,soul
Central Cee,5628491,81,hip hop
Eminem,85762792,91,hip hop
Lady A,3672096,65,country
Savage,18921799,88,hip hop
Avicii,22810338,80,pop
Martin Garrix,15022004,74,pop
Filatov & Karas,104959,58,dance
Nicky Romero,2179592,60,pop
Mark With a K,73063,48,pop
SLM,1512,30,electronic
Lil Wayne,14681842,84,hip hop
A R I Z O N A,420010,55,pop
Jones & Stephenson,10625,39,dance
Lady Gaga,30186040,84,pop
G-Eazy,5327238,77,pop
Fifth Harmony,16149806,67,pop
Skepta,1300883,72,hip hop
Stephen Sanchez,1438039,74,pop
Starley,204568,53,electronic
The Fray,4006794,69,rock
Fuse ODG,139575,62,hip hop
Juicy J,3178527,72,hip hop
Terror Squad,239004,49,hip hop
JID,1774144,75,hip hop
Kyla,25536,70,funk
Masked Wolf,736323,62,hip hop
Broiler,174105,63,electronic
Bazart,94519,44,indie
WALK THE MOON,2106784,70,rock
Metejoor,173951,53,pop
Trevor Guthrie,12683,56,pop
Lucas & Steve,429558,57,electronic
Carly Rae Jepsen,4878491,71,pop
Lewis Capaldi,12570562,78,pop
Fleetwood Mac,11567876,80,rock
The Killers,7312891,76,rock
Eric Prydz,624310,63,electronic
Gotye,2166954,70,pop
Shawn Mendes,42785016,80,pop
Swae Lee,2173490,79,rap
Silento,1351,47,electronic
Pat Benesta,5414,31,dance
Lilly Wood and The Prick,245714,62,pop
BTS,73740647,85,pop
Alessandra,141269,57,pop
Kendrick Lamar,30156189,92,hip hop
Mimi Webb,367771,58,pop
Billy Joel,6013292,77,rock
Florida Georgia Line,5399612,73,country
LF SYSTEM,75506,63,dance
Libianca,471539,64,hip hop
SoulChef,91998,49,electronic
Sabrina Carpenter,9501759,90,pop
Doja Cat,30201639,85,pop
gnash,1567265,60,pop
Bad Bunny,82635294,93,reggae
Teddy Swims,2304622,82,pop
SAINt JHN,1059095,67,rap
Pixies,2976413,69,rock
Bebe Rexha,9169237,79,pop
Skrillex,7585078,75,electronic
Franky Jones,4217,39,dance
Pearl Jam,8794220,74,rock
Internet Money,832156,65,pop
Liam Payne,10037612,61,pop
Milow,184638,52,pop
Talent,1255356,63,rock
Michael Schulte,326501,62,pop
Axwell /\ Ingrosso,2445221,64,electronic
Marco Borsato,703772,54,pop
Lizzo,5717206,69,hip hop
Claudia Leitte,1082329,59,latin
David Kushner,2212506,74,pop
Surfaces,935492,67,soul
Soulja Boy,2069546,67,hip hop
MAGIC!,2408988,68,reggae
Steppenwolf,1599906,61,rock
Doria D,271859,46,rock
Coldplay,51024216,87,pop
The Knocks,231437,59,dance
3 Doors Down,4361136,69,rock
Mike Posner,1367813,69,pop
CeeLo Green,622974,64,hip hop
Jax Jones,1178481,71,pop
13 Organisee,222620,52,hip hop
Pascal Letoublon,119346,55,dance
Goldband,134475,59,pop
Barbara Pravi,204592,57,pop
Pedro Capo,1589622,67,pop
Lucky Luke,130853,56,electronic
Sleepy Hallow,2004851,75,rap
220 KID,25250,55,dance
Imagine Dragons,52900852,86,rock
5NAPBACK,8682,24,pop
BAQ,1205,30,hip hop
Jack Harlow,3821891,79,hip hop
Liefde Voor Muziek voor Rode Neuzen Dag,3514,12,pop
Axel Stephenson,645,39,rock
Lil Jon & The East Side Boyz,915383,61,hip hop
Nirvana,19569556,80,rock
Vance Joy,3093276,75,pop
CJ,239558,59,rap
Imanbek,236468,70,electronic
Olivia O'Brien,2040069,63,pop
DripReport,109970,49,rap
Starship,1079906,64,rock
Hayley Williams,727914,63,pop
Calum Scott,5623107,74,pop
Meghan Trainor,15112341,78,pop
Kalush Orchestra,22486,47,pop
Davina Michelle,465485,54,pop
JP Saxe,513722,63,r&b
Snoop Dogg,11945949,81,funk
Selena Gomez & The Scene,9903904,66,pop
French Montana,5438380,74,hip hop
Jess Glynne,3044776,72,pop
Gigi D'Agostino,539,5,pop
Boef,1319287,64,hip hop
DJ Snake,8656213,77,pop
Skillet,5110996,72,metal
Rema,4626936,75,hip hop
Moss Kena,15802,49,r&b
Childish Gambino,12861082,79,hip hop
Calvin Harris,22613771,86,pop
