id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),"['Jason Derulo', '2 Chainz']",70,2013-09-10,0.76,0.652,6,-7.321,1,0.0348,0.0,0.307,0.759,100.315,177685,4
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,['Kendrick Lamar'],85,2017-04-14,0.908,0.621,1,-6.638,0,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
4rHZZAmHpZrA3iH5zx8frV,Mirrors,['Justin Timberlake'],79,2013-03-15,0.574,0.512,5,-6.664,0,0.234,0.0,0.0946,0.512,76.899,484147,4
1zB4vmk8tFRmM9UULNzbLB,Thunder,['Imagine Dragons'],85,2017-06-23,0.604,0.822,0,-4.833,1,0.00672,0.134,0.147,0.288,167.997,187147,4
0pqnGHJpmpxLKifKRmU6WP,Believer,['Imagine Dragons'],86,2017-06-23,0.776,0.78,10,-4.374,0,0.0622,0.0,0.081,0.666,124.949,204347,4
5PKWUDfQFtc5qqo8cs1gQp,Set Fire to the Rain,['Adele'],1,2011-01-19,0.603,0.67,2,-3.882,0,0.00408,1.66e-06,0.112,0.445,107.995,242974,4
3GpbwCm3YxiWDvy29Uo3vP,Right Round,"['Flo Rida', 'Kesha']",76,2009-03-23,0.72,0.672,7,-6.852,1,0.009,0.0,0.232,0.705,124.986,204640,4
5aTsxlQlq0vIedDWZoqMWN,Lights - Single Version,['Ellie Goulding'],61,2010-01-01,0.681,0.798,8,-6.169,0,0.0302,0.036,0.131,0.774,120.006,210853,4
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,['WALK THE MOON'],86,2014-12-02,0.578,0.866,1,-3.804,1,0.00701,0.0,0.257,0.619,128.038,199080,4
1rqqCSm0Qe4I9rUvWncaom,High Hopes,['Panic! At The Disco'],81,2018-06-22,0.579,0.904,5,-2.729,1,0.193,0.0,0.064,0.681,82.014,190947,4
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),"['P!nk', 'Nate Ruess']",84,2012-09-18,0.778,0.547,2,-7.273,1,0.344,0.000306,0.132,0.442,95.0,242733,4
48RrDBpOSSl1aLVCalGl5C,The Monster,"['Eminem', 'Rihanna']",78,2013-11-05,0.781,0.853,1,-3.68,0,0.0526,0.0,0.12,0.626,110.046,250189,4
1K3LRUEcUz5FMtPYyg0F45,Ho Hey,['The Lumineers'],40,2012,0.682,0.471,0,-9.182,1,0.768,0.0,0.0908,0.421,79.907,163133,4
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,['Miley Cyrus'],78,2013-10-04,0.53,0.422,5,-6.262,1,0.407,0.0,0.107,0.349,119.964,221360,4
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,['Drake'],72,2018-06-29,0.835,0.626,1,-5.833,1,0.0589,6e-05,0.396,0.35,91.03,217925,4
7ElF5zxOwYP4qVSWVvse3W,Break Your Heart,['Taio Cruz'],68,2010-01-01,0.607,0.934,3,-4.217,1,0.0328,0.0,0.0906,0.568,122.003,201547,4
275a9yzwGB6ncAW4SxY7q3,Panda,['Desiigner'],65,2016-02-26,0.686,0.73,10,-5.504,0,0.0287,0.0,0.369,0.271,145.251,247867,4
3ydfhgIZIc2j39NLIhpJpq,Fuck You,['CeeLo Green'],61,2010-11-09,0.693,0.879,0,-3.988,1,0.193,0.0,0.124,0.753,127.457,223694,4
6i0V12jOa3mr6uu4WYhUBr,Heathens,['Twenty One Pilots'],83,2016-06-16,0.732,0.396,4,-9.348,0,0.0841,3.58e-05,0.105,0.548,90.024,195920,4
0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,['Drake'],76,2016-05-06,0.891,0.628,2,-7.863,1,0.00258,0.00019,0.0504,0.552,134.966,267067,4
3dYD57lRAUcMHufyqn9GcI,Take Me To Church,['Hozier'],83,2014-09-19,0.575,0.664,4,-5.303,0,0.637,0.0,0.116,0.437,129.071,241688,4
3cHyrEgdyYRjgJKSOiOtcS,Timber,"['Pitbull', 'Kesha']",84,2012,0.581,0.963,11,-4.087,1,0.0295,0.0,0.139,0.788,129.992,204160,4
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),"['Bebe Rexha', 'Florida Georgia Line']",71,2017-08-11,0.643,0.783,10,-6.458,1,0.047,0.0,0.083,0.579,154.084,163870,4
22vgEDb5hykfaTwLuskFGD,Sucker,['Jonas Brothers'],78,2019-06-07,0.842,0.734,1,-5.065,0,0.0427,0.0,0.106,0.952,137.958,181027,4
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,['Justin Bieber'],79,2015-11-13,0.845,0.567,5,-8.118,0,0.59,0.00142,0.0811,0.793,125.02,205680,4
4E6cwWJWZw2zWf7VFbH7wf,Love Song,['Sara Bareilles'],71,2007-07-03,0.583,0.786,2,-3.142,0,0.0208,0.0,0.188,0.573,123.055,258827,4
0TK2YIli7K1leLovkQiNik,Señorita,"['Shawn Mendes', 'Camila Cabello']",76,2019-06-21,0.759,0.54,9,-6.039,0,0.037,0.0,0.0945,0.75,116.947,190960,4
3qKGvSu1inEZKwYQnMavNA,Smack That,"['Akon', 'Eminem']",6,2006,0.94,0.743,5,-5.166,0,0.317,0.0,0.0909,0.932,118.988,212360,4
1nInOsHbtotAmEOQhtvnzP,Stronger (What Doesn't Kill You),['Kelly Clarkson'],73,2011-10-24,0.562,0.939,0,-4.282,1,0.046,0.0,0.112,0.684,116.044,221947,4
1lKYAkBFQokUi59xi6FWqC,Cheerleader,['OMI'],0,2014-04-08,0.864,0.738,4,-4.323,1,0.214,0.0,0.179,0.938,100.0,174190,4
0nbXyq5TXYPCO7pr3N8S4I,The Box,['Roddy Ricch'],83,2019-12-06,0.896,0.586,10,-6.687,0,0.104,0.0,0.79,0.642,116.971,196653,4
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],77,2016-05-06,0.666,0.83,0,-5.715,1,0.0123,0.0,0.191,0.702,113.03,236002,4
5RIVoVdkDLEygELLCniZFr,Watch Me (Whip / Nae Nae),['Silentó'],63,2015-05-04,0.821,0.759,8,-8.541,1,0.247,0.0,0.321,0.962,140.01,185143,4
2771LMNxwf62FTAdpJMQfM,Bodak Yellow,['Cardi B'],52,2017-06-16,0.929,0.723,11,-5.792,0,0.0672,0.0,0.346,0.458,125.022,223962,4
