id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Lyrics
5l3CML2OnzfNs5RfVgbcLt,Talk Dirty (feat. 2 Chainz),"['Jason Derulo', '2 Chainz']",66,09/10/2013,0.76,0.652,6,-7.321,1,0.0348,0,0.307,0.759,100.315,177685,4,"Haha, get jazzy on 'em
I'm that flight that you get on, international
First class seat on my lap, girl, riding comfortable, ha (oh yeah)
'Cause I know what da girl dem need, New York to Haiti
I got lipstick stamps on my passport, you make it hard to leave
Been around the world, don't speak the language (uh-huh)
But your booty don't need explaining (uh-huh)
All I really need to understand is (uh-huh)
When you, you talk dirty to me
You talk dirty to me (what?)
Talk dirty to me
You talk dirty to me (what?)
Get jazzy on 'em
You know the words to my songs, no habla ingl?s (oh)
Our conversations ain't long
But you know what it is
I know what the girl dem want, London to Taiwan
I got lipstick stamps on my passport, I think I need a new one
Been around the world, don't speak the language (uh-huh)
But your booty don't need explaining (uh-huh)
All I really need to understand is (uh-huh)
When you, you talk dirty to me
You talk dirty to me (what?)
Talk dirty to me
You talk dirty to me (what?)
Met a friend in Rio
(Dos) She was all on me, oh
(Tres) We could m?nage ? three, oh
(Cuatro) Oh, yeah (2 Chainz)
Dos Cadenas, close to genius
Sold out arenas, you can suck my penis
Gilbert Arenas, guns on deck (deck)
Chest to chest, tongue on neck (neck)
International oral sex
Every picture I take, I pose a threat
Boat or jet, what do you expect?
Her pussy so good I bought her a pet
Anyway, every day I'm tryna get to it
Got her saved in my phone under ""Big Booty""
Anyway, every day I'm tryna get to it
Got her saved in my phone under ""Big Booty""
Been around the world, don't speak the language (uh-huh)
But your booty don't need explaining (uh-huh)
All I really need to understand is (uh-huh)
When you, you talk dirty to me (you do)
You talk dirty to me (yeah, yeah)
Talk dirty to me (talk to me)
Talk dirty to me (oh yeah)
Oh, get jazzy on 'em"
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE,['Kendrick Lamar'],81,4/14/2017,0.908,0.621,1,-6.638,0,0.000282,5.39E-05,0.0958,0.421,150.011,177000,4,"Nobody pray for me
It been that day for me
Way
Yeah, yeah!
Ayy, I remember syrup sandwiches and crime allowances
Finesse on 'em with some counterfeits, but now I'm countin' this
Parmesan where my accountant lives, in fact, I'm downin' this
D'USS? with my boo bae tastes like Kool-Aid for the analysts
Girl, I can buy yo' ass the world with my paystub
I know that it's good, won't you sit it on my taste bluds?
I get way too petty once you let me do the extras
Pull up on your block, then break it down, we playin' Tetris
A.m. to the p.m., p.m. to the a.m., funk
Eat up your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know
Tell 'em, be humble (hol' up)
Sit down (hol' up, hol' up, lil', hol' up)
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up)
Be humble (hol' up)
Sit down (hol' up, hol' up, hol' up)
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up, lil')
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up)
Be humble (hol' up)
Sit down (hol' up, hol' up, hol' up, hol' up)
Who dat -a thinkin' that he frontin' on Man-Man? (Man-Man)
Get the f- off my stage, I'm the Sandman (Sandman)
Get the f- off my (ayy), that ain't right
I make a play blowing up your whole life
I'm so, so sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural, I wanna feel some stretch marks
Still I take you down right on your mama couch in Polo socks
Ayy, this shit way too crazy, ayy, you do not amaze me, ayy
I blew cool from AC, ayy, Obama just paged me, ayy
I don't fabricate it, ayy, most of y'all be fakin', ayy
I stay modest 'bout it, ayy, she elaborate it, ayy
This that Grey Poupon, that Evian, that TED Talk, ayy
Watch my soul speak, you let the meds talk, ayy
If I kill a, uhm, it won't be the alcohol, ayy
I'm the realest, uhm, after all
Tell 'em, be humble (hol' up)
Sit down (hol' up, hol' up, lil')
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Tell 'em sit down (hol' up, hol' up, lil' hol' up)
Be humble (hol' up)
Sit down (hol' up, hol' up, hol' up, hol' up)
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil' hol' up, lil')
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil' hol' up)
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, hol' up)"
4rHZZAmHpZrA3iH5zx8frV,Mirrors,['Justin Timberlake'],74,3/15/2013,0.574,0.512,5,-6.664,0,0.234,0,0.0946,0.512,76.899,484147,4,"Aren't you somethin' to admire?
'Cause your shine is somethin' like a mirror
And I can't help but notice
You reflect in this heart of mine
If you ever feel alone and
The glare makes me hard to find
Just know that I'm always
Parallel on the other side

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'll be tryin' to pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Aren't you somethin', an original
'Cause it doesn't seem merely a sample
And I can't help but stare, 'cause
I see truth somewhere in your eyes
I can't ever change without you
You reflect me, I love that about you
And if I could, I would look at us all the time

'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'll be tryin' to pull you through
You just gotta be strong

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

Yesterday is history
Tomorrow's a mystery
I can see you lookin' back at me
Keep your eyes on me
Baby, keep your eyes on me

'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now (please show me, baby)
I'll tell you, baby, it was easy
Comin' back here to you once I figured it out
You were right here all along

It's like you're my mirror
My mirror staring back at me
I couldn't get any bigger
With anyone else beside of me
And now it's clear as this promise
That we're making two reflections into one
'Cause it's like you're my mirror
My mirror staring back at me, staring back at me

You are, you are the love of my life [x10]

Now you're the inspiration for this precious song
And I just wanna see your face light up since you put me on
So now I say goodbye to the old me, it's already gone
And I can't wait wait wait wait wait to get you home
Just to let you know, you are

You are, you are the love of my life [x8]

Girl you're my reflection, all I see is you
My reflection, in everything I do
You're my reflection and all I see is you
My reflection, in everything I do

You are, you are the love of my life [x16]"
1zB4vmk8tFRmM9UULNzbLB,Thunder,['Imagine Dragons'],80,6/23/2017,0.604,0.822,0,-4.833,1,0.00672,0.134,0.147,0.288,167.997,187147,4,"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind
Not a yessir. not a follower
Fit the box, fit the mold
Have a seat in the foyer, take a number
I was lighting before the thunder

Thunder, feel the thunder
Lighting then the thunder
Thunder, feel the thunder
Lighting then the thunder
Thunder. thunder
Thunder

Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are
Dreaming 'bout being a big star
They say you're basic, thry say you're easy
You're always riding in the backseat
Now I'm smiling from the stage
While you were clapping in the nose bleeds

Thunder, feel the thunder
Lighting then the thunder
Thunder, feel the thunder
Lighting then the thunder
Thunder. thunder

Thunder, feel the thunder
Lighting then the thunder, thunder
Thunder, feel the thunder
Lighting then the thunder, thunder
Thunder, feel the thunder
Lighting then the thunder, thunder
Thunder, feel the thunder
Lighting then the thunder, thunder
Thunder, feel the thunder
Lighting then the thunder, thunder"
0pqnGHJpmpxLKifKRmU6WP,Believer,['Imagine Dragons'],82,6/23/2017,0.776,0.78,10,-4.374,0,0.0622,0,0.081,0.666,124.949,204347,4,"First things first
I'ma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second thing second
Don't you tell me what you think that I could be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh
I was broken from a young age
Taking my sulking to the masses
Writing my poems for the few
That look at me, took to me, shook to me, feeling me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer
First things first
Can you imagine what's about to happen?
It's Weezy the Dragon, I link with the Dragons
And we gon' get ratchet, no need for imaginin'
This is what's happenin'
Second thing second, I reckon immaculate
Sound about accurate
I know that strength, it don't come, don't come without strategy
I know the sweet, it don't come without cavities
I know the passages come with some traffic
I start with from the basement, end up in the attic
And third thing third
Whoever call me out, they simply can't count
Let's get mathematic, I'm up in this, huh
Is you a believer?
I get a unicorn out of a zebra
I wear my uniform like a tuxedo
This dragon don't hold his breath, don't need no breather
Love you Ms. Cita, the son of a leader
I know the bloomin' don't come without rain
I know the losin' don't come without shame
I know the beauty don't come without hurt
Hol' up, hol' up, last thing last
I know that Tunechi don't come without Wayne
I know that losin' don't come without game
I know that glory don't come without...
Don't come without...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer
Last things last
By the grace of fire and flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh
But they never did, ever lived, ebbing and flowing
Inhibited, limited 'til it broke open and rained down
It rained down, like...
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain
Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer"
5PKWUDfQFtc5qqo8cs1gQp,Set Fire to the Rain,['Adele'],0,1/19/2011,0.603,0.67,2,-3.882,0,0.00408,1.66E-06,0.112,0.445,107.995,242974,4,"I let it fall, my heart
And as it fell, you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me
My hands, they were strong, but my knees were far too weak
To stand in your arms without falling to your feet

But there's a side to you that I never knew, never knew
All the things you'd say, they were never true, never true
And the games you'd play, you would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name

When laying with you I could stay there
Close my eyes, feel you here forever
You and me together, nothing is better

'Cause there's a side to you that I never knew, never knew
All the things you'd say, they were never true, never true
And the games you's play, you would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried

'Cause I heard it screaming out your name, your name
I set fire to the rain
And I threw us into the flames
When we fell, something died
'Cause I knew that that was the last time, the last time

Sometimes I wake up by the door
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touch your face
Well, it burned while I cried
'Cause I heard it screaming out your name, your name
I set fire to the rain
And I threw us into the flames
When we fell, something died
'Cause I knew that that was the last time, the last time, oh

Oh, no
Let it burn, oh
Let it burn
Let it burn"
3GpbwCm3YxiWDvy29Uo3vP,Right Round,"['Flo Rida', 'Kesha']",72,3/23/2009,0.72,0.672,7,-6.852,1,0.009,0,0.232,0.705,124.986,204640,4,"You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down

Hey, walk out that house with my swagger
Hop in there with dough, I got places to go!
People to see, time is precious
I looked at my cotty, are ya out of control?
Just like my mind where I'm goin'
No women, no shawties, no nothin' but clothes
No stoppin' now, my Pirellis on roll
I like my jewelry that's always on whoa
I know the storm is comin'
My pockets keep tellin' me it's gonna shower
Call up my homies, it's on
Then pop in the next 'cause this mix'll be ours
We keep a fade-away shot
'Cause we ballin' it's Platinum Patron that be ours
Lil mama, I owe you just like the flowers
Girl you the drink with all that goodie power.

You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down

From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down
From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down

Hey, shawty must know I'm the man
My money love her like her number one fan
Don't open my mouth, let her talk to my fans
My Benjamin Franklins
A couple of grands, I got rubber bands
My paper planes makin' her dance
Get dirty all night, that's part of my plan
We buildin' castles that's made out of sand
She's amazin', fire blazin'
Hotter than Cajun, girl won't you move a lil' closer?
Time to get paid, it's maximum wage
That body belong on a poster
I'm in a daze, that bottom is wavin' at me
Like: Damn it, I know you
You wanna shoot like a gun out of holster
Tell me whatever and I'll be your gopher

You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down

From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down
From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down

Yeah, I'm spendin' my money, I'm out of control
Somebody help me she takin' my bank roll
But I'm king of the club and I'm wearin' the crown
Poppin' these bottles, touchin' these models
Watchin' they asses go down down

You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down"
5aTsxlQlq0vIedDWZoqMWN,Lights - Single Version,['Ellie Goulding'],57,01/01/2010,0.681,0.798,8,-6.169,0,0.0302,0.036,0.131,0.774,120.006,210853,4,"I had a way then losing it all on my own
I had a heart then but the queen has been overthrown
And I'm not sleeping now the dark is too hard to beat
And I'm not keeping up the strength I need to push me

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine them when I'm alone

Home

Noises, I play within my head
Touch my own skin and hope that I'm still breathing
And I think back to when my brother and my sister slept
In an unlocked place the only time I feel safe

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine them when I'm alone

Home
(Light, lights, lights, lights)
(Light, lights, lights, lights)
Home, home (Light, lights, lights, lights)

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine them when I'm alone

Home, home (Light, lights, lights, lights)
Home, home (Light, lights, lights, lights)"
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,['WALK THE MOON'],81,12/02/2014,0.578,0.866,1,-3.804,1,0.00701,0,0.257,0.619,128.038,199080,4,"""Oh, don't you dare look back
Just keep your eyes on me.""
I said, ""You're holding back.""
She said, ""Shut up and dance with me!""
This woman is my destiny
She said, ""Ooh-ooh-hoo
Shut up and dance with me.""

We were victims of the night
The chemical, physical, kryptonite
Helpless to the bass and the fading light
Oh, we were bound to get together
Bound to get together

She took my arm
I don't know how it happened
We took the floor and she said

""Oh, don't you dare look back
Just keep your eyes on me.""
I said, ""You're holding back.""
She said, ""Shut up and dance with me!""
This woman is my destiny
She said, ""Ooh-ooh-hoo
Shut up and dance with me.""

A backless dress and some beat-up sneaks
My discoth?que Juliet, teenage dream
I felt it in my chest as she looked at me
I knew we were bound to be together
Bound to be together

She took my arm
I don't know how it happened
We took the floor and she said

""Oh, don't you dare look back
Just keep your eyes on me.""
I said, ""You're holding back.""
She said, ""Shut up and dance with me!""
This woman is my destiny
She said, ""Ooh-ooh-hoo
Shut up and dance with me.""

Oh, come on girl

Deep in her eyes
I think I see the future
I realize this is my last chance

She took my arm
I don't know how it happened
We took the floor and she said

""Oh, don't you dare look back
Just keep your eyes on me.""
I said, ""You're holding back.""
She said, ""Shut up and dance with me!""
This woman is my destiny
She said, ""Ooh-ooh-hoo
Shut up and dance!""

""Don't you dare look back
Just keep your eyes on me.""
I said, ""You're holding back.""
She said, ""Shut up and dance with me!""
This woman is my destiny
She said, ""Ooh-ooh-hoo
Shut up and dance with me.""

Ooh-ooh-hoo, shut up and dance with me
Ooh-ooh-hoo, shut up and dance with me"
1rqqCSm0Qe4I9rUvWncaom,High Hopes,['Panic! At The Disco'],76,6/22/2018,0.579,0.904,5,-2.729,1,0.193,0,0.064,0.681,82.014,190947,4,"[Intro]
High, high hopes

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes

[Verse 1]
Mama said, ""Fulfill the prophecy
Be something greater, go make a legacy
Manifest destiny, back in the days
We wanted everything, wanted everything""
Mama said, ""Burn your biographies
Rewrite your history, light up your wildest dreams
Museum victories, every day
We wanted everything, wanted everything""

[Pre-Chorus]
Mama said ""Don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting""

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)

[Verse 2]
Mama said, ""It's uphill for oddities
The stranger crusaders, ain't ever wannabes
The weird and the novelties don't ever change
We wanted everything, wanted everything"" (High, high hopes)
""Stay up on that rise
Stay up on that rise and never come down, oh
Stay up on that rise
Stay up on that rise and never come down""

[Pre-Chorus]
Mama said ""Don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting
They say it's all been done but they haven't seen the best of me-eh-eh-eh
So I got one more run and it's gonna be a sight to see-eh-eh-eh""

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Shooting for the stars when I couldn?t make a killing
Didn't have a dime, but I always had a vision
Always had high, high hopes (high, high hopes)
Had to have high, high hopes for a living
Didn?t know how, but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes

Mama said, ""Fulfill the prophecy
Be something greater, go make a legacy""
Manifest destiny back in the days
We wanted everything, wanted everything
Mama said, ""Burn your biographies
Rewrite your history, light up your wildest dreams""
Museum victories everyday
We wanted everything, wanted everything

Mama said, ""Don't give up, it's a little complicated
All tied up, no more love, and I?d hate to see you waiting""



Had to have high, high hopes for a living
Shooting for the stars when I couldn?t make a killing
Didn't have a dime, but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn?t know how, but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (high, high hopes)

Mama said, ""It's uphill for oddities
Stranger crusaders ain?t ever wannabes""
The weird and the novelties don't ever change
We wanted everything, wanted everything
Stay up on that rise, stay up on that rise
And never come down, oh-oh
Stay up on that rise, stay up on that rise
And never come down

Mama said, ""Don?t give up, it's a little complicated
All tied up, no more love, and I'd hate to see you waiting
They say it?s all been done, but they haven?t seen the best of me-eh-eh-eh
So I got one more run, and it's gonna be a sight to see-eh-eh-eh""


Had to have high, high hopes for a living
Shooting for the stars when I couldn?t make a killing
Didn't have a dime, but I always had a vision
Always had high, high hopes (high, high hopes)
Had to have high, high hopes for a living
Didn?t know how, but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (high, high hopes)

Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn?t have a dime, but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how, but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (high, high hopes)"
